Column header	Question type	Description	Ontology	Data type	Expected values	Missing values	Blank value	Source columns	Derivative columns	Introduced	Modified	Notes	Remapping
sample_name		The barcode for the sample. If derived from Qiita, may appear as prefix.barcode (i.e. 10317.000001001)		str	10317.[nine-digit-barcode]		10317.Blank.[identifier]		#SampleID			required	
acid_reflux	medical condition	Has the participant been diagnosed with acid reflux?		str	"I do not have this condition" | "Self-diagnosed" | "Diagnosed by a medical professional (doctor, physician assistant)" | "Diagnosed by an alternative medicine practitioner"	Not provided	"Not applicable"			added October 2014			
acne_medication		Does the participant use acne medication (topical or oral)?		bool	"true" | "false"	Not provided	"Not applicable"						
acne_medication_otc		Does the participant use over the counter acne medication (topical)?		bool	"true" | "false"	Not provided	"Not applicable"						
add_adhd	medical condition	Has the participant been diagnosed with attention deficit disorder or attention deficit hyperactivity disorder?		str	"I do not have this condition" | "Self-diagnosed" | "Diagnosed by a medical professional (doctor, physician assistant)" | "Diagnosed by an alternative medicine practitioner"	Not provided	"Not applicable"			added October 2014			
age_cat		Description of the partipant age. For adults, this is binned by decade. Children under 3 are described as "babies". Children 4 - 12 are "children" and those 13-19 are "teens".		str	"baby" | "child" | "teen" | "20s" | "30s" | "40s" | "50s" | "60s" | "70+"	Not provided	"Not applicable"	age_corrected | age_years  | alcohol_frequency | height_cm | weight_kg	subset_healthy				
age_corrected		The participant age, corrected to account for people whose ages are not possible (i.e. born in the future) or people whose other demographic characteristics (height, weight, alcohol consumption) do not make sense for their age		int	0 - 101	Not provided	"Not applicable"	age_years | alcohol_frequency | height_cm | weight_kg	age_cat				
age_years		The self-reported participant age in years.		int		Not provided	"Not applicable"		age_corrected | age_cat				
alcohol_consumption		Does the participant consume alcohol?		bool	"true" | "false"	Not provided	"Not applicable"	alcohol_frequency					
alcohol_frequency	frequency	How often does the participant drink alcohol?		str	"Never" | "Rarely (a few times/month)" | "Occasionally (1-2 times/week)" | "Regularly (3-5 times/week)" | "Daily"	Not provided	"Not applicable"						
