column	Definition	Helpful hints	Links	Format	Example mouse gut feces	Example mouse gut intestine mucosa	Example mouse gut cecal content	Example host-associated gut captive/domesticated - whole gut	Example mouse mesenteric lymph node	Example mouse spleen	Example rat blood	Example mouse skin	Example host-associated gut captive/domesticated	Example host-associated gut wild	Example host-associated oral captive/domesticated	Example host-associated oral wild	Example host-associated skin captive/domesticated	Example host-associated skin wild	Example host-associated skin fish	Example host-associated fish gut	Example host-associated fish gill	Example host-associated insect	Example host-associated insect gut	Example host-associated sponge	Example host-associated coral	Example plant-associated - fruit, leaves, stem, roots	Example plant-associated - rhizosphere	Example abalone surface biofilm	Example macroalgae/kelp	Example host-associated - sea cucumber	Example human-associated sputum	Example human-gut feces	Example human-gut mucosa	Example human-gut content	Example human-anal swab	Example human-vaginal	Example human-skin palm	Example human-skin forehead	Example human-oral tongue	Example human-oral saliva	Example human-associated nasal mucus	Example human-associated ear wax/cerumen	Example human-associated lung	Example human - blood	Example human - finger nail	Example human-urine	Example human-oropharynx	Example air	Example anaerobic digester	Example soil	Example rhizome	Example sea water	Example fresh water	Example waste water	Example sediment	Example marine sediment	Example biofilm	Example indoor	Example dust	Example hospital	Example food product	Example fermented food product	Example built environment surface	Example control blank (DNA extraction)	Example control blank (PCR-library prep)	Example control positive/mock community (DNA extraction)	Example control positive/mock community (PCR-library prep)	Example control positive single strain
sample_name	Unique for each sample in study, should be informative/descriptive  of sample - A sample at time point 1 for plot 1 at 3cm could be named : soil1.T1.P1.3cm	required for all sample submissions		text,characters are alphabetic [A-Za-z], numeric [0-9], and periods .	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER
TITLE	Of the study	required for all sample submissions		Free text	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER
ANONYMIZED_NAME or tube_id	Can be the same as sample name, or name of sample tube.  For human-associated samples it is not identifying (deidentified).	leave out if not appropriate		Free text	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HOST-ASSOCIATED	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	HUMAN	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	ENVIRONMENTAL	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER
scientific_name	Name in words of the TAXON_ID e.g. 408170 is human gut metagenome	required for all sample submissions: distinguish from taxonomy id of host	 http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi	free text from ontology	mouse gut metagenome	mouse gut metagenome	mouse gut metagenome	gut metagenome	mouse metagenome	mouse metagenome	mouse metagenome	mouse skin metagenome	gut metagenome	gut metagenome	oral metagenome	oral metagenome	skin metagenome	skin metagenome	fish metagenome	fish gut metagenome	fish metagenome	insect metagenome	insect gut metagenome	sponge metagenome	coral metagenome	plant metagenome	rhizosphere metagenome	biofilm	macroalgae metagenome	gut metagenome	human-metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human vaginal metagenome	human skin metagenome	human skin metagenome	human oral metagenome	human oral metagenome	human metagenome	human metagenome	human lung metagenome	human blood metagenome	human metagenome	human metagenome	human oral metagenome	air metagenome	anaerobic digester metagenome	soil metagenome	rhizosphere metagenome	seawater metagenome	freshwater metagenome	wastewater metagenome	sediment metagenome	marine sediment metagenome	biofilm metagenome	indoor metagenome	dust metagenome	hospital metagenome	food metagenome	food fermentation metagenome	indoor metagenome	metagenome	metagenome	synthetic metagenome	synthetic metagenome	metagenome
TAXON_ID	Refers to the number assigned to the specific metagenome being sampled:	required for all sample submissions e.g. soil metagenome is 410658	 http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi	integer	410661	410661	410661	749906	1441287	1441287	1441287	540485	749906	749906	1227552	1227552	1338477	1338477	496924	1602388	496924	1234904	1202446	1163772	496922	1297885	939928	718308	2015907	749906	646099	408170	408170	408170	408170	1632839	539655	539655	447426	447426	646099	646099	433733	1504969	646099	646099		655179	1263854	410658	939928	1561972	449393	527639	749907	412755	718308	1256227	1236744	1755691	870726	1154581	1256227	256318	256318	1235509	1235509	256318
DESCRIPTION	A description of the sample that can include site, subject, sample material	required for all sample submissions 		Free text																																																																
sample_type	text to indicate what type of sample	required for all sample submissions - stool, skin, saliva, soil		limited vocabulary with simple terminology	feces	colon content	cecum content	whole gut	mesenteric lymph node	spleen	blood	skin	stool	stool	saliva	saliva	skin	skin	fish skin	fish gut	fish gill	(type of insect)	(type of insect) gut	sponge	coral	(fruit,leaf,stem, root	rhizome	biofilm	kelp tissue/agar/tissue	sea cucumber intestine	sputum	stool	colon mucosa	colon content	anal swab	vaginal mucus	skin	skin	tongue	saliva	nasal mucus	ear wax	lung tissue	blood	nail debris	urine	oropharynx	air	anaerobic digester content	soil	rhizome	sea water	fresh water	waste water	sediment	marine sediment	biofilm	surface	dust	surface	cheese	beer	dust	control blank DNA extraction	control blank library prep	control positive DNA extraction	control positive library prep	bacteria monoculture
geo_loc_name	The geographical origin of the sample as defined by the country or location	chosen from the GAZ ontology	ols.wordvis.com	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	Brazil:Amazonas:Manaus	Brazil:Amazonas	Brazil:Amazonas:Manaus	Brazil:Amazonas	Brazil:Amazonas:Manaus	Brazil:Amazonas	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:WA:Tatoosh	Puerto Rico	USA:CA:San Diego	USA:NY	USA:NY	USA:NY	USA:CA:San Diego	USA:CO:Boulder	USA:CO:Boulder	USA:CO:Boulder	USA:CO:Boulder	USA:CO:Boulder	USA:CO:Boulder	USA:CA:San Diego	USA:CA:San Diego	USA:NY	USA:CA	USA:CA:San Diego	USA:CA:San Diego	USA:MI:Cleveland	USA:NY:Ithaca	USA:NY:Ithaca	USA:NY:Ithaca	USA:NY:Ithaca	USA:NY:Ithaca	USA:NY:Ithaca	USA:NY:Ithaca	USA:NY:Ithaca	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego	USA:CA:San Diego
ELEVATION	Height of land above sea level in meters at the sampling site	required for all sample submissions Distinguish from altitude which is height above land or sea in the air.  		float	193	193	193	193	193	193	193	193	92	100	92	100	92	100	193	193	194	193	193	193	193	193	193	193	0	0	193	10	10	10	193	1642	1642	1642	1642	1642	1642	193	193	10	193	193	193	199	123	123	123	123	123	123	123	123	193	193	193	193	193	193	193	193	193	193	193	193
ENV_BIOME	Classification of the location where the sample was obtained	required for all sample submissions. The world's major communities, classified according to the predominant vegetation and characterized by adaptations of organisms to that particular environment	ols.wordvis.com	text from Environmental Ontology (ENVO)	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	tropical broadleaf forest biome	urban biome	tropical broadleaf forest biome	urban biome	tropical broadleaf forest biome	marine biome	marine biome	marine biome	urban biome	urban biome	marine biome	marine biome	(pick a) biome	(pick a) biome	urban biome	marine biome	marine biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	(pick a) biome	(pick a) biome	marine biome	freshwater biome	urban biome	freshwater biome	marine biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome	urban biome
